Home_team,Away_team,Home_form,Away_form,Home_avg_scored,Away_avg_scored,Home_avg_conceded,Away_avg_conceded,Result
Liverpool,Bournemouth,0,0,0.0,0.0,0.0,0.0,H
Aston Villa,Newcastle,0,0,0.0,0.0,0.0,0.0,D
Brighton,Fulham,0,0,0.0,0.0,0.0,0.0,D
Sunderland,West Ham,0,0,0.0,0.0,0.0,0.0,H
Tottenham,Burnley,0,0,0.0,0.0,0.0,0.0,H
Wolves,Man City,0,0,0.0,0.0,0.0,0.0,A
Chelsea,Crystal Palace,0,0,0.0,0.0,0.0,0.0,D
Nott'm Forest,Brentford,0,0,0.0,0.0,0.0,0.0,H
Man United,Arsenal,0,0,0.0,0.0,0.0,0.0,A
Leeds,Everton,0,0,0.0,0.0,0.0,0.0,H
West Ham,Chelsea,0,1,0.0,0.0,3.0,0.0,A
Arsenal,Leeds,3,3,1.0,1.0,0.0,0.0,H
Burnley,Sunderland,0,3,0.0,3.0,3.0,0.0,H
Man City,Tottenham,3,3,4.0,3.0,0.0,0.0,A
Bournemouth,Wolves,0,0,2.0,0.0,4.0,4.0,H
Brentford,Aston Villa,0,1,1.0,0.0,3.0,0.0,H
Crystal Palace,Nott'm Forest,1,3,0.0,3.0,0.0,1.0,D
Everton,Brighton,0,1,0.0,1.0,1.0,1.0,H
Fulham,Man United,1,0,1.0,0.0,1.0,1.0,D
Newcastle,Liverpool,1,3,0.0,4.0,0.0,2.0,A
Wolves,Everton,0,3,0.0,1.0,2.5,0.5,A
Leeds,Newcastle,3,1,0.5,1.0,2.5,1.5,D
Tottenham,Bournemouth,6,3,2.5,1.5,0.0,2.0,A
Man United,Burnley,1,3,0.5,1.0,1.0,1.5,H
Chelsea,Fulham,4,2,2.5,1.0,0.5,1.0,H
Sunderland,Brentford,3,3,1.5,1.0,1.0,1.5,H
Brighton,Man City,1,3,0.5,2.0,1.5,1.0,H
Nott'm Forest,West Ham,4,0,2.0,0.5,1.0,4.0,A
Liverpool,Arsenal,6,6,3.5,3.0,2.0,0.0,H
Aston Villa,Crystal Palace,1,2,0.0,0.5,0.5,0.5,A
Everton,Aston Villa,6,1,1.6666666666666667,0.0,1.0,1.3333333333333333,D
Arsenal,Nott'm Forest,6,4,2.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,H
Bournemouth,Brighton,6,4,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,H
Crystal Palace,Sunderland,5,6,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.0,D
Fulham,Leeds,2,4,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.6666666666666667,H
Newcastle,Wolves,2,0,0.6666666666666666,0.6666666666666666,1.0,2.6666666666666665,H
West Ham,Tottenham,3,6,1.3333333333333333,1.6666666666666667,2.6666666666666665,0.3333333333333333,A
Brentford,Chelsea,3,7,1.0,2.3333333333333335,1.6666666666666667,0.3333333333333333,D
Burnley,Liverpool,3,9,1.3333333333333333,2.6666666666666665,2.0,1.3333333333333333,A
Man City,Man United,3,4,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,H
Wolves,Leeds,0,4,0.5,0.25,2.25,1.5,A
Man United,Chelsea,4,8,1.0,2.25,1.75,0.75,H
West Ham,Crystal Palace,3,6,1.0,1.0,2.75,0.25,A
Fulham,Brentford,5,4,0.75,1.25,1.0,1.75,H
Brighton,Tottenham,4,9,1.0,2.0,1.5,0.25,D
Liverpool,Everton,12,7,2.25,1.25,1.0,0.75,H
Burnley,Nott'm Forest,3,4,1.0,1.0,1.75,2.0,D
Bournemouth,Newcastle,9,5,1.5,0.75,1.25,0.75,D
Sunderland,Aston Villa,7,2,1.25,0.0,0.75,1.0,D
Arsenal,Man City,9,6,2.25,2.0,0.25,1.0,D
Tottenham,Wolves,10,0,2.0,0.6,0.6,2.4,D
Man City,Burnley,7,4,1.8,1.0,1.0,1.6,H
Leeds,Bournemouth,7,10,0.8,1.2,1.4,1.0,D
Nott'm Forest,Sunderland,5,8,1.0,1.2,1.8,0.8,A
Chelsea,Brighton,8,5,2.0,1.2,1.0,1.6,A
Brentford,Man United,4,7,1.2,1.2,2.0,1.6,H
Crystal Palace,Liverpool,9,15,1.2,2.2,0.4,1.0,H
Aston Villa,Fulham,3,8,0.2,1.2,1.0,1.0,H
Newcastle,Arsenal,6,10,0.6,2.0,0.6,0.4,A
Everton,West Ham,7,3,1.2,1.0,1.0,2.6,D
Bournemouth,Fulham,11,7,1.2,1.2,0.6,1.4,H
Leeds,Tottenham,5,8,1.0,1.6,1.8,0.8,A
Arsenal,West Ham,10,4,2.2,1.2,0.6,2.2,H
Man United,Sunderland,7,8,1.4,0.8,2.0,0.8,H
Chelsea,Liverpool,7,12,2.2,1.6,1.6,1.0,H
Brentford,Man City,7,7,1.6,2.0,1.6,1.2,A
Newcastle,Nott'm Forest,5,2,0.8,0.4,1.0,1.8,H
Wolves,Brighton,1,7,0.8,1.6,1.8,1.6,D
Aston Villa,Burnley,5,4,0.8,1.2,1.2,2.0,H
Everton,Crystal Palace,8,11,1.4,1.6,1.0,0.6,H
Nott'm Forest,Chelsea,1,7,0.2,1.6,2.0,1.6,A
Brighton,Newcastle,8,8,1.8,0.8,1.4,0.4,H
Burnley,Leeds,1,5,1.0,1.2,2.4,1.2,H
Crystal Palace,Bournemouth,10,11,1.6,1.6,0.8,0.8,D
Man City,Everton,10,8,2.2,1.4,0.8,1.2,H
Sunderland,Wolves,8,2,0.8,1.0,0.8,1.8,H
Fulham,Arsenal,6,10,1.2,1.6,1.8,0.6,A
Tottenham,Aston Villa,8,8,1.6,1.2,1.0,1.2,A
Liverpool,Man United,9,9,1.2,1.6,1.0,1.8,A
West Ham,Brentford,4,4,1.0,1.4,1.6,1.8,A
Leeds,West Ham,4,1,1.2,0.4,1.6,2.0,H
Chelsea,Sunderland,7,8,1.8,0.8,1.6,0.6,A
Newcastle,Fulham,7,6,1.0,1.2,0.8,1.6,H
